"","peiid","phiid","hzname","genhz","hzdept","hzdepb","clay","silt","sand","fragvoltot","texture","texcl","lieutex","phfield","effclass","labsampnum","rupresblkdry","stickiness","plasticity","ksatpedon","texture_class","d_r","d_g","d_b","d_hue","d_value","d_chroma","d_sigma","m_r","m_g","m_b","m_hue","m_value","m_chroma","m_sigma","moist_soil_color","dry_soil_color","fine_gravel","gravel","cobbles","stones","boulders","channers","flagstones","parafine_gravel","paragravel","paracobbles","parastones","paraboulders","parachanners","paraflagstones","unspecified","total_frags_pct_nopf","total_frags_pct","art_fgr","art_gr","art_cb","art_st","art_by","art_ch","art_fl","art_unspecified","total_art_pct","huartvol_cohesive","huartvol_penetrable","huartvol_innocuous","huartvol_persistent","soil_color","hzID"
"1","115595","579662","A",NA,0,5,15,NA,NA,0,"L","l",NA,5.5,"none","01P1566","moderately hard","nonsticky","slightly plastic",NA,"l",0.580112948378542,0.4622332887856,0.312595938398295,"10YR",5,4,NA,0.471354415000155,0.358982747804929,0.268153002774733,"7.5YR",4,3,NA,"#785C44","#947650",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"#785C44","9"
"2","115595","579661","BA",NA,5,10,20,NA,NA,0,"L","l",NA,4.90000009536743,"none","01P1567","moderately hard","nonsticky","slightly plastic",NA,"l",0.615741662283562,0.452396944704544,0.217776103977673,"10YR",5,6,NA,0.382702209935083,0.256739122625714,0.150693611746242,"7.5YR",3,4,NA,"#624126","#9D7338",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"#624126","10"
"3","115595","579660","BAt",NA,10,28,25,NA,NA,0,"L","l",NA,5.5,"none","01P1568","slightly hard","slightly sticky","slightly plastic",NA,"l",0.637312000683057,0.440849295810215,0.248469983097938,"7.5YR",5,6,NA,0.540971684161612,0.330593022989956,0.185293266355343,"5YR",4,6,NA,"#8A542F","#A3703F",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"#8A542F","11"
"4","115595","579659","Bt1",NA,28,51,29,NA,NA,0,"CL","cl",NA,6,"none","01P1569","moderately hard","slightly sticky","moderately plastic",NA,"cl",0.637312000683057,0.440849295810215,0.248469983097938,"7.5YR",5,6,NA,0.540971684161612,0.330593022989956,0.185293266355343,"5YR",4,6,NA,"#8A542F","#A3703F",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"#8A542F","12"
"5","115595","579658","Bt2",NA,51,74,35,NA,NA,0,"CL","cl",NA,6,"none","01P1570","moderately hard","moderately sticky","moderately plastic",NA,"cl",0.637312000683057,0.440849295810215,0.248469983097938,"7.5YR",5,6,NA,0.540971684161612,0.330593022989956,0.185293266355343,"5YR",4,6,NA,"#8A542F","#A3703F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"#8A542F","13"
"6","115595","579657","Cr",NA,74,81,NA,NA,NA,0,"BR",NA,"br",NA,NA,NA,NA,NA,NA,NA,"br",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"14"
"7","115819","580839","A",NA,0,5,15,NA,NA,0,"L","l",NA,5.5,"none","01N01566","moderately hard","nonsticky","slightly plastic",NA,"l",0.759709917687259,0.535518985781698,0.373617113895021,"5YR",6,6,NA,0.651690566604579,0.432094659694293,0.276238863034852,"5YR",5,6,NA,"#A66E46","#C2895F",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"#A66E46","15"
"8","115819","580840","BA",NA,5,10,20,NA,NA,0,"L","l",NA,4.90000009536743,"none","01N01567","moderately hard","nonsticky","slightly plastic",NA,"l",0.759709917687259,0.535518985781698,0.373617113895021,"5YR",6,6,NA,0.651690566604579,0.432094659694293,0.276238863034852,"5YR",5,6,NA,"#A66E46","#C2895F",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"#A66E46","16"
"9","115819","580841","Bt1",NA,10,28,25,NA,NA,0,"L","l",NA,5.5,"none","01N01568","slightly hard","slightly sticky","slightly plastic",NA,"l",0.651690566604579,0.432094659694293,0.276238863034852,"5YR",5,6,NA,0.540971684161612,0.330593022989956,0.185293266355343,"5YR",4,6,NA,"#8A542F","#A66E46",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"#8A542F","17"
"10","115819","580842","Bt2",NA,28,51,29,NA,NA,0,"CL","cl",NA,6,"none","01N01569","moderately hard","slightly sticky","moderately plastic",NA,"cl",0.651690566604579,0.432094659694293,0.276238863034852,"5YR",5,6,NA,0.540971684161612,0.330593022989956,0.185293266355343,"5YR",4,6,NA,"#8A542F","#A66E46",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"#8A542F","18"
